Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Kira Nerys Defiant Leader	FTB	STVE-EN16030	V	Y	16V030	Personnel	4					Bajoran	[Cmd][DS9]		Commander: U.S.S. Defiant. 		Bajoran	Honor Leadership Officer Programming	6	6	6	When you play this personnel, if you command Bajor, you may destroy an event. When an opponent plays an interrupt, if you command Mouth of the Wormhole, you may return this personnel to her owner's hand to prevent that interrupt and place it in its owner's discard pile.
Unionize	FTB	STVE-EN16019	V	N	16V019	Dilemma	3	D														Unless you have 3 Security or Anthropology, Diplomacy, and Integrity>24, randomly select a personnel to be stopped, and you must destroy any number of events from your core that have a total cost equal to or greater than the number of Dabo Girl personnel and Waiter personnel your opponent commands.
Hindrance	FTB	STVE-EN16022a	V	Y	16V022	Event	1								Temporal. 							Plays in your core. When personnel that the player on your right commands begin a mission attempt, you may kill one of your unique [Fut] personnel who costs 3 or more and destroy this event to draw three extra dilemmas and spend three extra in total cost on dilemmas.
Keeping Track of You	FTB	STVE-EN16023	V	N	16V023	Event	2								Q. 							When you are about to play this event, choose one: it gains the gametext of a non-unique Q event you command; or it gains the gametext of a non-unique Q event an opponent commands.
Savagery to Match Their Numbers	FTB	STVE-EN16011	V	N	16V011	Dilemma	3	P														Unless you have Strength>40 or Officer, Security, and Cunning>28, randomly select a personnel to be stopped, and choose a number of personnel who have a total cost equal to or greater than the number of Alpha personnel your opponent commands to be killed.
The Undiscovered Country	FTB	STVE-EN16025	V	Y	16V025	Event	4															Plays in your core. When a personnel that the player on your right commands begins a mission attempt, before you have drawn dilemmas, you may destroy this event to name a personnel. Each opponent's personnel with that card title is stopped.
Uninvited	FTB	STVE-EN16027	V	N	16V027	Interrupt	0								Q. 							When personnel that the player on your right commands begin a mission attempt, search your dilemma pile for a dilemma that costs 1 or less, and place it aside. Shuffle and replace your dilemma pile. After you have chosen dilemmas for your dilemma stack, place that dilemma on top of your dilemma stack.
Patriotic Spirit	FTB	STVE-EN16010	V	N	16V010	Dilemma	2	P														Unless you have 3 Officer or Honor, Leadership, and Strength>28, randomly select a personnel to be stopped, and randomly select a personnel to be stopped for each Glinn personnel your opponent commands.
Telle Macet's Aide	FTB	STVE-EN16033ab	V	Y	16V033	Personnel	2					Cardassian	[Stf]		Glinn. 		Cardassian	Medical Programming Science Transporters Treachery	4	5	6	When this personnel is about to face a dual dilemma, you may discard three cards from hand to exchange that dilemma with a dual dilemma beneath this mission that this personnel has not faced this turn.
Delivery Boy	FTB	STVE-EN16021	V	N	16V021	Event	0								Q. Temporal. 							Plays in your core. When you are about to play a Q event or a Temporal event, you may destroy this event to play that event at cost -3.
Reyga Young Scientist	FTB	STVE-EN16038a	V	Y	16V038	Personnel	4					Ferengi	[Stf]				Ferengi	2 Astrometrics 2 Engineer 2 Science	5	7	5	While this personnel is facing a dilemma that has a cost of 1 or more and does not require a skill, you may stop him and remove two Rule cards from beneath your Ferenginar from the game to prevent and overcome that dilemma.
Subliminal Signal	FTB	STVE-EN16024	V	N	16V024	Event	3								Temporal. 							Plays in your core. When a dilemma that has a cost of 3 is revealed from your dilemma stack, you may place the top card of your dilemma pile face up beneath the mission being attempted to make that dilemma cost -3.
Arak'Taral Suspicious Second	FTB	STVE-EN16034	V	Y	16V034	Personnel	3					Dominion	[Stf]				Jem'Hadar	Astrometrics Officer Physics Transporters	5	5	8	When this personnel is an eligible target for a random selection, you may exclude a [Cmd] personnel present from that selection.
Klag Second Officer	FTB	STVE-EN16039	V	Y	16V039	Personnel	3					Klingon	[Cmd]				Klingon	Diplomacy Honor Navigation Officer	6	6	7	While this personnel is facing a dilemma that requires Honor or Officer, he and each Honor personnel present cannot be randomly selected by that dilemma.
The Beast at El-Adrel	FTB	STVE-EN16014	V	N	16V014	Dilemma	3	P														Your personnel cannot gain skills while facing this dilemma. Unless you have 2 Diplomacy and 2 Leadership, or Engineer, Transporters, and Cunning>33 or a Hand Weapon, all your personnel are stopped.
Aid Maritime Sovereignty	FTB	STVE-EN16028	V	Y	16V028	Mission	0	P	2	35	D	Any affiliation may attempt this mission.						Diplomacy, Leadership, Science, and Integrity>34 or Physics, Navigation, Treachery, and Cunning>36				When you complete this mission, take a dilemma you own from beneath a mission and return it to your dilemma pile.
Two of Two Adaptation Drone	FTB	STVE-EN16032	V	Y	16V032	Personnel	2					Borg	[Stf]		Drone. 		Borg	Anthropology Exobiology Science	5	5	5	When this personnel begins a mission attempt, you may name a dilemma that is beneath one of your missions. When he faces that dilemma, you may prevent that dilemma and overcome it. This effect lasts until the end of this turn.
Lore Brother and Son	FTB	STVE-EN16042	V	Y	16V042	Personnel	6					Non-Aligned	[Cmd]				Android	Engineer Navigation 2 Programming 2 Treachery	1	10	10	While this personnel is facing a non-Consume dilemma, he cannot be killed or stopped.
Unwanted Guests	FTB	STVE-EN16020	V	N	16V020	Dilemma	2	D														Your opponent randomly discards a personnel from his or her hand. Unless you have that personnel's skills, all your personnel are stopped.
Chula: Unfortunate Roll	FTB	STVE-EN16005	V	N	16V005	Dilemma	1	D														Randomly select three personnel. If their total Integrity is odd, all three are stopped.
In-Fighting	FTB	STVE-EN16006	V	N	16V006	Dilemma	2	D														Your opponent names a skill. Unless you have three or less of that skill, randomly select a personnel with that skill to be killed.
Time for Action	FTB	STVE-EN16017	V	N	16V017	Dilemma	0	D														For each headquarters mission your opponent commands, this dilemma is cost +2. Randomly select a personnel. Unless he or she has at least one skill listed in this mission's requirements, stop that personnel, then for each headquarters mission you command, randomly select another personnel to be stopped.
Tabor Apoplectic Bajoran	FTB	STVE-EN16031	V	Y	16V031	Personnel	2					Bajoran	[Stf][Voy][Maq]				Bajoran	Engineer Physics Programming Science	5	5	5	While you have six or more personnel in your discard pile, this personnel is Cunning +2, Strength +2, and cannot be stopped by dilemmas.
George Primmin Starfleet Security	FTB	STVE-EN16035ab	V	Y	16V035	Personnel	2					Federation	[Stf][DS9]				Human	Anthropology Officer Programming Security	6	5	6	When this personnel is about to be stopped by a dilemma, name a unique personnel present. That personnel cannot be killed or stopped by dilemmas until the end of turn.
Masaro Idealistic Saboteur	FTB	STVE-EN16044	V	Y	16V044	Personnel	3					Starfleet	[Stf][Pa]		Infiltrator. 		Human	Engineer Physics Programming Treachery	3	6	6	Order - If you command four different species, kill this personnel to examine the top four dilemmas of an opponent's dilemma pile and remove one from the game. The remaining dilemmas return to their owner's dilemma pile.
Azetbur Visionary Chancellor *VP	VP	STVP-EN001	VP	Y	0VP001	Personnel	4					Klingon	[Cmd][Pa]		Chancellor. 		Klingon	Anthropology Diplomacy Exobiology Honor Law 2 Leadership	7	6	6	When this personnel uses a skill to complete a mission, you may destroy three of your Assault and/or Maneuver events to score 10 points.
Ro Laren Headstrong Ensign *VP	VP	STVP-EN002	VP	Y	0VP002	Personnel	2					Federation	[Stf][TNG]				Bajoran	Navigation Officer Programming	4	6	6	While this personnel is facing a dual dilemma, she cannot be randomly selected by dilemmas.
All-Consuming Evil *VP	VP	STVP-EN003	VP	N	0VP003	Dilemma	2	P														Place this dilemma on top of its owner's dilemma pile. When this dilemma is placed beneath a mission by a Consume dilemma, your opponent names a skill. Randomly select a personnel that is attempting that mission with that skill to be killed.
Hikaru Sulu Loyal Captain *VP	VP	STVP-EN004	VP	Y	0VP004	Personnel	4					Federation	[Cmd][TOS][Pa][E]		Commander: U.S.S. Excelsior. 		Human	Archaeology Astrometrics Honor Leadership Navigation Officer	6	6	6	You may play this personnel aboard your U.S.S. Excelsior. When the ship this personnel is aboard is about to move to a mission where you command a ship, subtract 2 from the Range required.
Klag Second Officer *VP	VP	STVP-EN005	VP	Y	0VP005	Personnel	3					Klingon	[Cmd]				Klingon	Diplomacy Honor Navigation Officer	6	6	7	While this personnel is facing a dilemma that requires Honor or Officer, he and each Honor personnel present cannot be randomly selected by that dilemma.
Earth Cradle of the Federation *VP	VP	STVP-EN006	VP	Y	0VP006	Mission	0	H	2	0	A	This mission is not attemptable.			Region: Sector 001. 			You may play [TNG] cards, [E] cards, [NA] cards, and equipment at this mission.				
At What Cost? *VP	VP	STVP-EN007	VP	N	0VP007	Event	0															Lose 5 points to spend 7 additional counters this turn.  Destroy this event.
Causal Recursion	RTS	STVE-EN17002	V	N	17V002	Dilemma	2	S														Unless you choose to remove five cards in your discard pile from the game or have three missions worth 40 or more points each, place this dilemma in your core. You need an additional 10 points to win the game. When you score points from an event, you may remove this dilemma from the game.
Covert Ambush	RTS	STVE-EN17003	V	N	17V003	Dilemma	3	S														Unless you have a personnel with 2 Engineer or a personnel with 2 Programming, place this dilemma in your core. When your personnel is about to be placed in an opponent's brig, this dilemma's owner may remove this dilemma from the game to randomly select an additional personnel present to be placed in that opponent's brig.
Echo Papa Attack	RTS	STVE-EN17004	V	N	17V004	Dilemma	3	D														Your personnel cannot gain skills while facing this dilemma. Unless you have these requirements: [P] - Medical, Officer, and Security; or [S] - Leadership, Navigation, and Programming, randomly select a personnel to be killed and this dilemma returns to its owner's dilemma pile.
Full Complement	RTS	STVE-EN17005	V	N	17V005	Dilemma	0	D														If your personnel have faced another dilemma during this mission attempt, this dilemma is cost +2. Unless you have five or more personnel, randomly select a personnel to return to his or her owner's hand and this dilemma returns to its owner's dilemma pile.
He Wasn't Nice	RTS	STVE-EN17006	V	N	17V006	Dilemma	0	D														This dilemma is cost +5. Your opponent names a personnel. Kill each personnel with that card title.
Miner Revolt	RTS	STVE-EN17008	V	N	17V008	Dilemma	3	P														Randomly select personnel until their total cost is 6 or more. Those personnel are stopped.
Punishment Box	RTS	STVE-EN17010	V	N	17V010	Dilemma	4	P														Unless you destroy one of your equipment or have Engineer and a personnel with Honor and Leadership, randomly select an Officer to be stopped and place this dilemma in your core. At the start of each of your turns, choose an Officer personnel to be stopped.
Stupefy	RTS	STVE-EN17013	V	N	17V013	Dilemma	0	D							Consume: 1. 							Place this dilemma in your core. When your opponent's dilemma is revealed, he or she may remove this dilemma from the game to add one level of one skill that is in that dilemma's requirements to that requirement until the end of dilemma.
Unorthodox Tactics	RTS	STVE-EN17016	V	N	17V016	Dilemma	1	S														Unless you command more ships than your opponent or command an event that has a cost of 4 or more, place this dilemma in your core. When an engagement begins, this dilemma's owner may remove this dilemma from the game to make a ship Weapons +4 and Shields +6 until the end of the turn.
