Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Kell Romulan Accomplice	Excelsior	ST2E-EN04167	C	Y	4C167	Personnel	2					Romulan			High Council Member. 		Klingon	Diplomacy Engineer Exobiology Programming Treachery	3	5	5	While this personnel is at a [Kli] mission, he is an Infiltrator.  While this personnel is at your [Kli] mission, you may attempt it.
Lursa Romulan Conspirator	Excelsior	ST2E-EN04169	R	Y	4R169	Personnel	2					Romulan	[Cmd]				Klingon	Anthropology Engineer Law 2 Treachery	2	6	7	When you other [Rom] personnel present is about to be stopped by a dilemma, this personnel may gain one of his or her skills until the end of that mission attempt.  You may do this only once each turn.
Mareth	Excelsior	ST2E-EN04170	C	N	4C170	Personnel	2					Romulan	[Stf]				Romulan	Archaeology Engineer Programming Transporters	5	6	5	When this personnel is about to be stopped by a dilemma, you may discard an event from hand to prevent that.
Relam	Excelsior	ST2E-EN04172	C	N	4C172	Personnel	2					Romulan	[Cmd]				Romulan	Astrometrics Officer Science Treachery	4	6	6	When this personnel is about to be stopped by a dilemma, you may discard an event from hand to prevent that.
Setek	Excelsior	ST2E-EN04175	C	N	4C175	Personnel	2					Romulan					Romulan	Anthropology Exobiology Medical Physics	5	5	6	When this personnel is about to be stopped by a dilemma, you may discard an event from hand to prevent that.
Tamarith Reformist	Excelsior	ST2E-EN04176	U	Y	4U176	Personnel	2					Romulan			Dissident. 		Romulan	Anthropology Biology Honor Medical	6	5	4	When you complete a [Fed] mission, if this personnel used any of her skills, score 5 points.
Taul	Excelsior	ST2E-EN04177	C	N	4C177	Personnel	2					Romulan	[Stf]				Romulan	Biology Geology Navigation Security	5	5	6	When this personnel is about to be stopped by a dilemma, you may discard an event from hand to prevent that.
Larg Piece of Baktag	Excelsior	ST2E-EN03187	U	Y	3U187	Personnel	2					Klingon	[Cmd]				Klingon	Biology Officer Science Treachery	4	5	6	While this personnel is attempting a mission, he is attributes +1 for each Assault and Maneuver event you command (limit +3).
Bregath	Excelsior	ST2E-EN02133	C	N	2C133	Personnel	2					Klingon	[Stf]				Klingon	Archaeology Engineer Security Treachery	4	5	6	While an opponent commands a ship that has a Damage card on it, this personnel is attributes +2.
Divok	Excelsior	ST2E-EN02134	C	N	2C134	Personnel	2					Klingon					Klingon	Biology Honor Medical Physics	6	5	6	When you play this personnel, if you command {Kahless}, you may draw a card.
Kahless The Greatest Warrior of Them All	Excelsior	ST2E-EN02137	U	Y	2U137	Personnel	5					Klingon					Klingon	Anthropology 2 Honor 3 Leadership	10	5	8	While this personnel is facing a dilemma, you may meet Integrity and Cunning requirements of that dilemma using Strength instead.
Khar	Excelsior	ST2E-EN02140	C	N	2C140	Personnel	2					Klingon					Klingon	Exobiology Honor Officer Security	6	5	6	When you play this personnel, if you command {Kahless}, this personnel's cost is -1.
Khos	Excelsior	ST2E-EN02141	C	N	2C141	Personnel	2					Klingon	[Cmd]				Klingon	Biology Medical Navigation Officer	5	4	6	When an opponent's personnel is killed, this personnel is attributes +2 until the end of this turn (limit +4).
Konmel Renegade Warrior	Excelsior	ST2E-EN02142	R	Y	2R142	Personnel	3					Klingon	[Stf]				Klingon	Astrometrics Honor Navigation Officer	6	4	7	When your other Klingon present is killed during a mission attempt, this personnel may gain one of his or her skills until the end of that mission attempt.  You may do this only once each turn.
Korris Renegade Captain	Excelsior	ST2E-EN02144	R	Y	2R144	Personnel	3					Klingon	[Cmd]				Klingon	Engineer Honor Officer Security	6	4	7	When your other Klingon present is killed during a mission attempt, this personnel is Strength +3 until the end of that mission attempt (limit +3).
Losta	Excelsior	ST2E-EN02145	C	N	2C145	Personnel	2					Klingon	[Stf]				Klingon	Geology Navigation Officer	5	5	6	While you command {Kahless}, this personnel is attributes +2.
Maques Cairn Delegate	Excelsior	ST2E-EN02154	C	Y	2C154	Personnel	2					Non-Aligned					Cairn	Diplomacy Honor 2 Telepathy	8	5	4	
Roga Danar Decorated Subhadar	Excelsior	ST2E-EN02157	R	Y	2R157	Personnel	4					Non-Aligned	[Cmd]		Genetically Enhanced. 		Angosian	Biology Engineer Leadership Navigation Programming Security	4	8	8	When this personnel is about to be placed in a brig, place him on top of his owner's deck instead.
Galathon Steadfast Rival	Excelsior	ST2E-EN02161	R	Y	2R161	Personnel	3					Romulan	[Cmd]		Commander: Trolarak. 		Romulan	Archaeology Geology Law Leadership Officer	5	6	6	When you play this personnel, you make take {Engage Cloak} or a Pursuit card from your discard pile into hand.
Mirok Interphase Researcher	Excelsior	ST2E-EN02162	U	Y	2U162	Personnel	2					Romulan	[Cmd]				Romulan	Engineer Physics Science Treachery	4	6	6	When an opponent attempts this mission with an Engineer personnel, that opponent discards a card from hand.
Toraan	Excelsior	ST2E-EN02167	C	N	2C167	Personnel	2					Romulan	[Stf]				Romulan	Intelligence Security Transporters	5	5	6	When you play this personnel, choose an opponent to discard a card from hand.
Toreth Cautious Commander	Excelsior	ST2E-EN02168	R	Y	2R168	Personnel	2					Romulan	[Cmd]		Commander: Khazara. 		Romulan	Honor Leadership Navigation Officer	5	6	5	When this personnel uses a skill to complete a mission, you may examine an opponent's hand and choose one of those cards to be discarded.  You may do this only once each turn.
Alyssa Ogawa Enterprise Medical Assistant	Excelsior	ST2E-EN01252	R	Y	1R252	Personnel	2					Federation	[Stf][TNG]				Human	Biology Exobiology Medical	6	5	4	When your other personnel present is about to be killed, you may stop this personnel and place a card from hand on top of your deck to place that other personnel on top of your deck.
Barron	Excelsior	ST2E-EN01255	C	N	1C255	Personnel	1					Federation	[E]				Human	Anthropology Archaeology Geology	5	5	4	
Daniel Kwan	Excelsior	ST2E-EN01258	C	N	1C258	Personnel	1					Federation	[Stf][TNG]				Human/Napean	Engineer Physics Telepathy	6	5	5	
Davies	Excelsior	ST2E-EN01260	C	N	1C260	Personnel	1					Federation	[Stf][TNG]				Human	Geology Physics Science	5	6	5	
Elizabeth Shelby Formidable Presence	Excelsior	ST2E-EN01262	S	Y	1S262	Personnel	2					Federation	[Cmd][TNG]				Human	Exobiology Geology Leadership Officer Security	6	6	5	
Tasha Yar Chief of Security	Excelsior	ST2E-EN01286	R	Y	1R286	Personnel	3					Federation	[Stf][TNG]				Human	Honor Leadership Security Transporters	7	5	6	When your non-Security personnel on the same planet as this personnel is randomly selected to be killed, you may choose this personnel to be killed instead.
Wesley Crusher Prodigy	Excelsior	ST2E-EN01288	R	Y	1R288	Personnel	3					Federation	[Stf][TNG]				Human	Astrometrics Engineer Physics Programming	5	7	4	While this personnel is facing a dilemma, he gains Engineer, Exobiology, Navigation and Science.
B'amara	Excelsior	ST2E-EN01292	C	N	1C292	Personnel	2					Klingon	[Stf]				Klingon	Biology Honor Medical Physics Programming	6	5	6	
Dokar	Excelsior	ST2E-EN01295	C	N	1C295	Personnel	1					Klingon	[Cmd]				Klingon	Biology Navigation Officer	5	4	7	
J'Dan	Excelsior	ST2E-EN01298	C	N	1C298	Personnel	1					Klingon			Smuggler. 		Klingon	Exobiology Science Treachery	3	5	7	
K'nera Klingon Defense Force Commander	Excelsior	ST2E-EN01299	S	Y	1S299	Personnel	2					Klingon	[Cmd]				Klingon	Honor Law Officer Security Transporters	6	4	7	
Kahlest GhojmoH of Worf	Excelsior	ST2E-EN01300	S	Y	1S300	Personnel	2					Klingon					Klingon	Anthropology Honor Medical	7	5	3	Each of your other Honor Klingons present is Cunning +1.
Kahmis	Excelsior	ST2E-EN01301	C	N	1C301	Personnel	1					Klingon	[Stf]				Klingon	Leadership Security Transporters	6	4	7	
Kitrik "The Tyrant Molor"	Excelsior	ST2E-EN01303	S	Y	1S303	Personnel	2					Klingon	[Stf]				Klingon	Exobiology Medical Programming Science	6	5	6	When you play this personnel, if you command a mission requiring Science, you may draw a card.
Kroval	Excelsior	ST2E-EN01307	C	N	1C307	Personnel	1					Klingon	[Stf]				Klingon	Archaeology Geology Science	5	5	6	
Kurak Warp Field Specialist	Excelsior	ST2E-EN01308	R	Y	1R308	Personnel	3					Klingon	[Stf]				Klingon	Astrometrics Physics Programming Science Transporters	4	7	6	While an opponent has not completed a mission, that opponent must discard a card from hand to use the skills on one of his or her Science personnel.
Kurn Squadron Commander	Excelsior	ST2E-EN01309	R	Y	1R309	Personnel	4					Klingon	[Cmd]		Commander: I.K.S. Hegh'ta. 		Klingon	Astrometrics Diplomacy Honor Leadership Navigation Officer	6	5	7	When an engagement involving your [Kli] ship begins at this mission, if this personnel is aboard a ship, that ship may join that engagement.
Meraht	Excelsior	ST2E-EN01312	C	N	1C312	Personnel	2					Klingon					Klingon	Anthropology Exobiology Honor Intelligence Transporters	6	5	6	
Nu'Daq Tenacious Rival	Excelsior	ST2E-EN01314	R	Y	1R314	Personnel	3					Klingon	[Cmd]		Commander: I.K.S. Maht-H'a. 		Klingon	Archaeology Exobiology Leadership Navigation Officer Treachery	4	6	7	When you play this personnel, you may discard a card from hand to take a card from your discard pile into hand.
T'vis	Excelsior	ST2E-EN01315	C	N	1C315	Personnel	2					Klingon	[Stf]				Klingon	Diplomacy Honor Law Security	6	5	7	
Vorax	Excelsior	ST2E-EN01316	C	N	1C316	Personnel	2					Klingon	[Stf]				Klingon	Astrometrics Engineer Geology Programming	6	5	7	
Acost Jared	Excelsior	ST2E-EN01317	C	N	1C317	Personnel	1					Non-Aligned					Ventaxian	Anthropology Law Leadership	5	5	5	
Bhavani	Excelsior	ST2E-EN01320	C	N	1C320	Personnel	2					Non-Aligned					Barzan	Diplomacy Honor Law Leadership Physics	6	5	4	
Brull Encampment Leader	Excelsior	ST2E-EN01321	U	Y	1U321	Personnel	2					Non-Aligned	[Cmd]		Gatherer. Thief. 		Acamarian	Astrometrics Diplomacy Honor Leadership Navigation	6	5	6	
Chorgan Leader of the Gatherers	Excelsior	ST2E-EN01322	U	Y	1U322	Personnel	2					Non-Aligned	[Cmd]		Gatherer. Thief. 		Acamarian	Law Leadership Physics Transporters	4	5	6	While this personnel is facing a dilemma, if another Gatherer is present, this personnel is attributes +1 and gains Diplomacy and Leadership.
Dallan	Excelsior	ST2E-EN01323	C	N	1C323	Personnel	1					Non-Aligned	[Stf]		Gatherer. Thief. 		Acamarian	Medical Navigation Physics	4	4	6	
Dathon Speaker of Tama	Excelsior	ST2E-EN01324	R	Y	1R324	Personnel	4					Non-Aligned	[Cmd]		Commander: Tama. 		Tamarian	2 Diplomacy 2 Honor Leadership Officer	8	6	6	While your other Diplomacy personnel is present, you may meet Strength requirements of each dilemma this personnel faces using Integrity instead.
Etana Jol Ktarian Operative	Excelsior	ST2E-EN01326	U	Y	1U326	Personnel	3					Non-Aligned	[Cmd]				Ktarian	2 Exobiology Medical Programming Science Treachery	3	6	4	Order - If this personnel is aboard your ship, discard a personnel or ship from hand that matches her ship's affiliation to draw a card.  You may do this only once each turn.
Jo'Bril Patient Schemer	Excelsior	ST2E-EN01331	R	Y	1R331	Personnel	4					Non-Aligned	[Cmd]		Assassin. Thief. 		Takaran	Astrometrics Navigation Physics 2 Science 2 Treachery	2	6	6	When this personnel is about to be killed by a dilemma, place him on top of his owner's deck instead.
Kamala The Perfect Mate	Excelsior	ST2E-EN01332	R	Y	1R332	Personnel	3					Non-Aligned					Kriosian	2 Anthropology Archaeology Diplomacy Telepathy	6	6	4	Order - This personnel gains one skill from another personnel present.  She keeps this skill until the start of your next turn.  You may do this only once each turn.
Marouk Sovereign of Acamar	Excelsior	ST2E-EN01335	U	Y	1U335	Personnel	1					Non-Aligned					Acamarian	Diplomacy Law 2 Leadership	6	5	3	While a Gatherer is at this mission, he gains Geology and loses Thief.
Nel Apgar Temperamental Researcher	Excelsior	ST2E-EN01338	U	Y	1U338	Personnel	2					Non-Aligned					Tanugan	2 Physics Science Treachery	3	7	3	When you play this personnel, you may draw three cards, then place three cards from hand on the bottom of your deck in any order.
Pran Tainer Atrean Seismologist	Excelsior	ST2E-EN01339	C	Y	1C339	Personnel	2					Non-Aligned					Atrean	2 Geology Physics Programming Science	5	7	3	
Rabal	Excelsior	ST2E-EN01340	C	N	1C340	Personnel	2					Non-Aligned	[Stf]				Hekaran	Astrometrics Engineer Physics Programming Transporters	4	6	5	
Riva Respected Mediator	Excelsior	ST2E-EN01343	U	Y	1U343	Personnel	1					Non-Aligned					Ramatin	2 Diplomacy Honor	6	5	4	When you play this personnel, each player may draw a card.
Serova Warp Field Theorist	Excelsior	ST2E-EN01344	R	Y	1R344	Personnel	3					Non-Aligned	[Stf]				Hekaran	2 Astrometrics 2 Engineer Physics Science	4	7	4	While this personnel is facing a dilemma, each of your other Engineer personnel present is Cunning +1.
Togaran	Excelsior	ST2E-EN01349	C	N	1C349	Personnel	2					Non-Aligned	[Cmd]				Tamarian	Honor Leadership Officer Security Transporters	6	5	6	
Vash Treasure Hunter	Excelsior	ST2E-EN01352	R	Y	1R352	Personnel	2					Non-Aligned			Thief. 		Human	Anthropology 2 Archaeology Science Treachery	3	6	4	When you play this personnel, you may place a card from your discard pile on the bottom of your deck, then draw a card (or, if {Jean-Luc Picard} is at this mission, draw two cards instead).
Alidar Jarok Conscientious Admiral	Excelsior	ST2E-EN01354	U	Y	1U354	Personnel	2					Romulan	[Cmd]		Admiral. 		Romulan	Leadership Navigation Officer Security	4	6	5	When you play this personnel, for each player who commands a [Rom] personnel, you may examine the top four cards of his or her deck.  Replace them in the same order.
Donatra Compassionate Patriot	Excelsior	ST2E-EN01357	R	Y	1R357	Personnel	2					Romulan	[Cmd]		Commander: Valdore. Dissident. 		Romulan	Engineer Leadership Officer Physics	4	6	5	While this personnel is facing a dilemma, she gains Honor and Security.
N'Vek Soldier of the Underground	Excelsior	ST2E-EN01364	R	Y	1R364	Personnel	2					Romulan	[Cmd]		Dissident. 		Romulan	Astrometrics Biology Programming Science	4	5	6	Order - If this personnel is present with another non-Treachery Romulan, place that Romulan on the bottom of its owner's deck to draw a number of cards equal to his or her cost.  You may do this only once each turn.
Tal'Aura Impatient Senator	Excelsior	ST2E-EN01372	R	Y	1R372	Personnel	3					Romulan			Assassin. Dissident. Senator. 		Romulan	Biology Diplomacy Geology Programming 2 Treachery	1	6	4	Order - Return this personnel to her owner's hand to kill an opponent's Leadership personnel present.
The Viceroy Shinzon's Protector	Excelsior	ST2E-EN01376	R	Y	1R376	Personnel	2					Romulan	[Cmd]				Reman	Exobiology Geology Leadership Medical Telepathy Treachery	3	6	7	When you play Shinzon or another Reman at this mission, you may examine the top card of your deck, then place it on the top or bottom of your deck.
Tomalak Beguiling Adversary	Excelsior	ST2E-EN01378	R	Y	1R378	Personnel	3					Romulan	[Cmd]		Commander: Deranas. 		Romulan	Diplomacy Leadership Navigation Officer Treachery	4	6	7	While you have a higher score than each of your opponents, if this personnel is aboard a [Rom] ship, that ship is attributes +2.
Assassination Attempt	Excelsior	ST2E-EN01007	R	N	1R007	Dilemma	4	P														Randomly select two personnel.  Each of those personnel who does not have Treachery is killed.
Chula: Pick One to Save Two	Excelsior	ST2E-EN01016	C	N	1C016	Dilemma	2	D														Randomly select three personnel.  Choose to return one of those personnel to its owner's hand or to have all three of them be stopped.
Command Decisions	Excelsior	ST2E-EN01017	S	N	1S017	Dilemma	1	S														Choose a personnel who has Leadership or Officer to be stopped.  If you cannot, randomly select a personnel to be killed.
Equipment Malfunction	Excelsior	ST2E-EN01025	S	N	1S025	Dilemma	1	D														Return all your equipment to their owner's hands.
Kelvan Show of Force	Excelsior	ST2E-EN01032	R	N	1R032	Dilemma	5	D														Your opponent chooses two personnel (except an Android or a Hologram).  Randomly select one of those personnel to be killed.
Kolaran Raiders	Excelsior	ST2E-EN01033	S	N	1S033	Dilemma	1	P														Choose a personnel who has Leadership or Security to be stopped.  If you cannot, randomly select a personnel to be killed.
Magnetic Field Disruptions	Excelsior	ST2E-EN01036	C	N	1C036	Dilemma	1	S														Choose a personnel who has Astrometrics or Navigation to be stopped.  If you cannot, randomly select a personnel to be killed.
Personal Duty	Excelsior	ST2E-EN01042	R	N	1R042	Dilemma	2	S														Unless you have Leadership or Officer, all your personnel are stopped.  If you have two more personnel who have Leadership or Officer, randomly select all but one of those personnel to be stopped.
Pinned Down	Excelsior	ST2E-EN01043	S	N	1S043	Dilemma	2	D														Randomly select a personnel to be stopped.  If you still have nine personnel remaining, randomly select a second personnel to be stopped.  If you still have ten personnel remaining, randomly select a third personnel to be stopped.
Temptation	Excelsior	ST2E-EN01053	U	N	1U053	Dilemma	3	D														Randomly select three personnel.  Each of those personnel that does not have Honor or Treachery is stopped.
Triage	Excelsior	ST2E-EN01057	C	N	1C057	Dilemma	1	P														Choose a personnel who has Biology or Medical to be stopped.  If you cannot, randomly select a personnel to be killed.
Alien Gambling Device	Excelsior	ST2E-EN01061	R	N	1R061	Equipment	5															When a random selection is made at this mission, you may ignore its result and select again.  You may do this only once each turn.
Romulan Disruptor Pistol	Excelsior	ST2E-EN01069	U	N	1U069	Equipment	1								Hand Weapon. 							While in combat, each of your [Rom] personnel present is Strength +1.
Starfleet Type-2 Phaser	Excelsior	ST2E-EN01071	U	N	1U071	Equipment	1								Hand Weapon. 							While in combat, each of your [Fed] personnel present is Strength +1.
A Chance for Glory	Excelsior	ST2E-EN01073	R	N	1R073	Event	3								Assault. Maneuver. 							Plays in your core.  Order - Destroy this event to begin combat or an engagement involving your [Kli] personnel.  If you win, score 10 points.
Astrometrics Lab	Excelsior	ST2E-EN01075	C	N	1C075	Event	1															Plays in your core.  Order - Discard a card from hand to make your ship with your Astrometrics personnel aboard Range +2 until the end of this turn.  You may do this only once each turn.
Engage Cloak	Excelsior	ST2E-EN01087	R	N	1R087	Event	2															Plays in your core.  You may execute only one order using this event each turn.  Order - If there is no ship on this event, place your staffed ship that has a Cloaking Device on this event (While a ship is here, this event cannot leave play.)  Order - If a ship is on this event, place that ship at any mission.  That ship's Range for this turn is used.
No Peace in Our Time	Excelsior	ST2E-EN01098	R	Y	1R098	Event	3								Maneuver. 							Plays in your core.  Each of your [Kli] Treachery personnel is Cunning +2.  Order - Destroy this event to begin an engagement involving your [Kli] Treachery personnel.  If you win, randomly kill an opponent's personnel involved.
Amanda Rogers	Excelsior	ST2E-EN01121	R	N	1R121	Interrupt	0															To play this interrupt, you must have 5 or more points. When an event or interrupt is played, prevent that event or interrupt and place it in its owner's discard pile. Lose 5 points.
Escape	Excelsior	ST2E-EN01127	R	N	1R127	Interrupt	0															When any number of your personnel facing a dilemma are about to be killed or placed in an opponent's brig, discard a random card from hand to prevent that. Those personnel are stopped instead.
Quantum Slipstream Drive	Excelsior	ST2E-EN01135	C	N	1C135	Interrupt	0															To play this interrupt, you must command a ship with your Engineer personnel aboard.  Order - That ship is Range +4 until the end of this turn.
Shady Resources	Excelsior	ST2E-EN01140	S	N	1S140	Interrupt	0															When your personnel is facing a dilemma, discard a card from hand to make him or her gain all skills on one of your other Treachery personnel at this mission. This effect lasts until the end of that dilemma.
Abduction Plot	Excelsior	ST2E-EN01148	S	Y	1S148	Mission	0	S	3	35	A	[Car] [Dom] [Rom]						Transporters, Treachery, Cunning>34, and (Intelligence and Leadership or Law and Officer)				
Collect Sample	Excelsior	ST2E-EN01157	U	Y	1U157	Mission	0	S	3	35	A	[Car] [Dom] [Fer] [Kli] [Rom]						Physics, 2 Science, Transporters, and Cunning>34				
Earth Cradle of the Federation	Excelsior	ST2E-EN01161	S	Y	1S161	Mission	0	H	2	0	A	This mission is not attemptable.			Region: Sector 001. 			You may play [TNG] cards, [E] cards, [NA] cards, and equipment at this mission.				
Extraction	Excelsior	ST2E-EN01168	U	Y	1U168	Mission	0	P	2	35	A	Any affiliation (except [Bor]) may attempt this mission.						Biology, Medical, Treachery, Cunning>36, and (Diplomacy or Intelligence)				
Iconia Investigation	Excelsior	ST2E-EN01174	U	Y	1U174	Mission	0	P	2	35	A	[Dom] [Fed] [Rom]			Region: Neutral Zone. 			2 Archaeology, 2 Programming, and Cunning>32				
Intercept Renegade	Excelsior	ST2E-EN01176	S	Y	1S176	Mission	0	S	3	35	A	[Car] [Fed] [Rom]						2 Intelligence, 2 Treachery, and Cunning>34 or 2 Leadership, Officer, Security, and Integrity>33				
Investigate Coup	Excelsior	ST2E-EN01178	S	Y	1S178	Mission	0	P	2	35	A	[Baj] [Fed] [Rom]						Leadership, Navigation, Officer, Security, and Strength>36				
Investigate Rogue Comet	Excelsior	ST2E-EN01180	S	Y	1S180	Mission	0	S	3	35	A	Any affiliation (except [Bor]) may attempt this mission.						Anthropology, Archaeology, Engineer, Programming, and Cunning>34				
