Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Conflict of Interests	Excelsior11	STVE-EN26002	V	N	26 V 2	Dilemma	4	D														Unless you have 3 Archaeology or Integrity>36, all your personnel are stopped. If four or more personnel of the same species are stopped by this dilemma, this dilemma's owner may discard a random card from hand to return this dilemma to his or her dilemma pile.
Covert Insertion	Excelsior11	ST2E08007	U	N	8 U 7	Dilemma	2	D														Unless you have Diplomacy, Officer, and Security or Biology, Intelligence, and Treachery, randomly select a personnel to be stopped, and if the opponent on your left commands Founders' Homeworld, he or she may download an Infiltrator that he or she does not command and place him or her on your ship or planet mission.
Dark Page	Excelsior11	STVE-EN21002	V	N	21 V 2	Dilemma	2	D														Choose a personnel who has Anthropology or Exobiology to be stopped. If you cannot, randomly select a personnel to be killed.
Dead Ringer	Excelsior11	STVE-EN34003	V	N	34 V 3	Dilemma	3	D														Your opponent chooses a personnel. You may replace him or her with a personnel in your discard pile that has at least one of the same skills. If you do, place the personnel your opponent chose in your discard pile. Otherwise, all your personnel are stopped.
Dead Weight	Excelsior11	STVE-EN36005	V	N	36 V 5	Dilemma	3	D														Each of your personnel who does not have a skill required by this mission is stopped.
Dereliction of Duty	Excelsior11	STVE-EN41002	V	N	41 V 2	Dilemma	0	D														Place this dilemma on this mission. Your personnel at this mission cannot use their abilities. At the end of this mission attempt, this dilemma is overcome.
Disaster	Excelsior11	STVE-EN38003	V	N	38 V 3	Dilemma	1	D														Place this dilemma on this mission. When your personnel uses a skill while facing a Damage dilemma here, that personnel is stopped. At the end of this turn, this dilemma is overcome.
Dragon's Teeth	Excelsior11	STVE-EN40003	V	N	40 V 3	Dilemma	3	D														Randomly select two personnel. Unless their total cost is greater than the number of cards in your hand, they are killed.
Dumb Waiter	Excelsior11	STVE-EN35002	V	N	35 V 2	Dilemma	5	D														Your opponent reveals one of his or her personnel at this mission. Unless you have the skills on that personnel, your opponent chooses three personnel to be stopped.
Exposed Power Relay	Excelsior11	ST2E-EN02008	U	N	2 U 8	Dilemma	3	D														Randomly select a personnel to be stopped. If you still have nine personnel remaining, that personnel is killed instead, then randomly select a second personnel to be killed. If you still have ten personnel remaining, your opponent chooses a third personnel to be killed.
Family	Excelsior11	STVE-EN23005	V	N	23 V 5	Dilemma	3	D														Randomly select a personnel to be stopped. Unless you reveal an Honor personnel from your hand or reveal a Treachery personnel from your hand, place that personnel on the bottom of his or her owner's deck instead.
Formal Hearing	Excelsior11	ST2E-EN04014	U	N	4 U 14	Dilemma	7	D														For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have Diplomacy, Intelligence, 2 Programming and Cunning>38 or 2 Honor, Law, and 2 Officer, randomly select three personnel to be stopped.
Fractured Time	Excelsior11	st2e-en13009	C	N	13 C 9	Dilemma	4	D														Randomly select nine personnel. All your other personnel are removed from the game.
Generous Offer	Excelsior11	STVE-EN31007	V	N	31 V 7	Dilemma	3	D														When your opponent reveals this dilemma, he or she may give you command of his or her Commodity to add 10 to each of this dilemma's attribute requirements. Unless you have Archaeology and Cunning>30 or Diplomacy and Strength>30, all your personnel are stopped.
Harried and Harassed	Excelsior11	STVE-EN40005	V	N	40 V 5	Dilemma	2	D														Your opponent chooses his or her staffed ship at another mission and places it at this mission. If he or she commands a Pursuit event, this dilemma returns to its owner's dilemma pile.
He Wasn't Nice	Excelsior11	STVE-EN17006	V	N	17 V 6	Dilemma	0	D														This dilemma is cost +5. Your opponent names a personnel. Kill each personnel with that card title.
In-Fighting	Excelsior11	STVE-EN16006	V	N	16 V 6	Dilemma	2	D														Your opponent names a skill. Unless you have three or less of that skill, randomly select a personnel with that skill to be killed.
Indecent Proposal	Excelsior11	STVE-EN33003ab	V	N	33 V 3	Dilemma	3	D														Randomly select a personnel who <b>costs 5 or more</b> to be stopped. If you cannot, your opponent chooses a personnel to be stopped. If a personnel who costs 5 or more was stopped by this dilemma, return this dilemma to its owner's dilemma pile.
Inequitable Exchange	Excelsior11	STVE-EN23006	V	N	23 V 6	Dilemma	6	D														If your opponent has a captive in his or her brig, this dilemma is cost -3. Take a personnel you own from an opponent's brig (he or she joins this mission attempt). Then your opponent chooses a different personnel to be placed in his or her brig.
Infatuation	Excelsior11	STVE-EN25001	V	N	25 V 1	Dilemma	2	D														Randomly select a Security personnel to be stopped. If you still have nine personnel remaining, randomly select a Medical personnel to be stopped. If you still have ten personnel remaining, randomly select an Officer personnel to be stopped.
Ingenious Jury-rig	Excelsior11	STVE-EN28002	V	N	28 V 2	Dilemma	3	D														Choose a personnel who has Transporters to be stopped, then place this dilemma in your core. Non-Persistent dilemmas may not be returned to your dilemma pile from beneath your opponent's incomplete missions.
Interstellar Exigence	Excelsior11	STVE-EN43004	V	N	43 V 4	Dilemma	2	D														Choose a Law personnel to be stopped, then randomly select an additional personnel to be stopped for each headquarters mission the opponent on your left commands.
Intimidation	Excelsior11	STVE-EN26004	S	N	26 V 4	Dilemma	4	D														Randomly select a personnel. Repeat this until you select a personnel of a different species than the first personnel that you selected. Stop each selected personnel.
Kelvan Show of Force	Excelsior11	ST2E-EN01032	R	N	1 R 32	Dilemma	5	D														Your opponent chooses two personnel (except an Android or a Hologram). Randomly select one of those personnel to be killed.
Lack of Preparation	Excelsior11	ST2E-EN04019	C	N	4 C 19	Dilemma	2	D														Unless you have the skills needed to complete this mission, this dilemma and all remaining dilemmas you have not yet faced return to their owner's dilemma pile.
Macrovirus	Excelsior11	STVE-EN42003	V	N	42 V 3	Dilemma	4	D														Randomly select a personnel to be stopped. Unless you have 2 Exobiology and 2 Science or Medical, Security, and a Hand Weapon, that personnel is killed and this dilemma is placed on your ship at this mission. Damage - When your opponent plays an interrupt on his or her turn, randomly select a personnel aboard this ship to be killed.
Manufactured Triumph	Excelsior11	STVE-EN26006	V	N	26 V 6	Dilemma	0	D														Your opponent discards any number of personnel of different species from hand. Unless you have that number of personnel of different species, all your personnel are stopped.
Murder Investigation	Excelsior11	ST2E-EN03018	C	N	3 C 18	Dilemma	4	D														Randomly select three personnel. If any of those personnel has Security, all three are stopped.
Nose to Nose	Excelsior11	st2e-en10013	C	N	10 C 13	Dilemma	0	D														Randomly select two personnel. If they both have the same cost, they are both stopped.
Old Differences	Excelsior11	WYLB010	C	N	14 C 10	Dilemma	4	D														When you reveal this dilemma from the dilemma stack, if this mission is worth 35 or less points, it is cost -1. Randomly select two personnel to be stopped.
Ominous Presence	Excelsior11	STVE-EN26008	V	N	26 V 8	Dilemma	4	D														If you have five or more personnel of the same species attempting this mission, this dilemma is cost -2. Randomly select a personnel with Diplomacy or Security. Then choose a different personnel of the same species. Those personnel are stopped.
Overwhelmed	Excelsior11	ST2E-EN03019	R	N	3 R 19	Dilemma	4	D														Place this dilemma on this mission. When a personnel facing a dilemma at this mission uses his or her skills, he or she is stopped. At the end of this turn, return this dilemma to its owner's dilemma pile.
Pawn Against Pawn	Excelsior11	STVE-EN30007	V	N	30 V 7	Dilemma	4	D														Your opponent returns a random personnel in his or her discard pile to his or her owner's hand. Unless you have the skills on that personnel, all your personnel are stopped.
Pinned Down	Excelsior11	ST2E-EN01043	S	N	1 S 43	Dilemma	2	D														Randomly select a personnel to be stopped. If you still have nine personnel remaining, randomly select a second personnel to be stopped. If you still have ten personnel remaining, randomly select a third personnel to be stopped.
Pitching In	Excelsior11	STVE-EN22008	V	N	22 V 8	Dilemma	4	D														If you have four or more personnel who have a cost of 2 or less attempting this mission, this dilemma is cost -3. Choose a Leadership or Security personnel to be stopped. Then choose an Engineer or Programming personnel to be stopped.
Profitable Venture	Excelsior11	ST2E08015	U	N	8 U 15	Dilemma	1	D							Consume: 1. (Your opponent places the top card of his or her dilemma pile face up beneath this mission.)							Unless you have Acquisition, Diplomacy, and Transporters or Law, Officer, and Security, randomly select a personnel to be stopped and the next dilemma revealed during this mission attempt is cost -3.
Psycho-Kinetic Attack	Excelsior11	ST2E-EN03021	S	N	3 S 21	Dilemma	3	D														Unless you have Exobiology and 2 Medical or Honor and Telepathy, randomly select a Security personnel to be killed.
Racial Tension	Excelsior11	ST2E-EN02020	C	N	2 C 20	Dilemma	0	D														Randomly select two personnel. Unless they are the same species, both are stopped.
Satarran Gambit	Excelsior11	STVE-EN27002	V	N	27 V 2	Dilemma	4	D														Unless you have Intelligence and Cunning > 32 or 2 Biology and Programming, your opponent may place an Infiltrator from hand aboard a ship at this mission (your opponent now commands that personnel) and all your personnel are stopped.
Shaken Confidence	Excelsior11	STVE-EN40007	V	N	40 V 7	Dilemma	4	D														When this dilemma is revealed, it is cost -1 for each Paranoia event your opponent commands. Unless you have 2 Intelligence, randomly select three personnel to be stopped.
Shared Hallucination	Excelsior11	STVE-EN27003	V	N	27 V 3	Dilemma	0	D														When this dilemma is revealed, you may discard any number of cards from your hand. Choose a personnel to be stopped for each card in your hand.
Shocking Betrayal	Excelsior11	WYLB013	U	N	14 U 13	Dilemma	2	D														Choose a personnel to be stopped and your opponent may discard a non-[NA] personnel from hand to choose a personnel that is the same affiliation as that discarded personnel to be killed.
Show Trial	Excelsior11	STVE-EN15007	V	N	15 V 7	Dilemma	2	D														Randomly select a personnel who has Leadership or Medical to be stopped. If you have more points than each of your opponents, randomly select an additional personnel to be stopped.
Skeleton Crew	Excelsior11	ST2E-EN03028	U	N	3 U 28	Dilemma	0	D														Place this dilemma on this mission. To begin a mission attempt at this mission, you must have at least six personnel involved. When you complete this mission, this dilemma is overcome.
Spatial Interphase	Excelsior11	STVE-EN17012	V	N	17 V 12	Dilemma	6	D														For each mission worth 40 or more points that your opponent commands, this dilemma is cost -2. Your opponent chooses a personnel who has three or less [SD] icons to be killed.
Swashbuckler at Heart	Excelsior11	st2e-en12017	R	N	12 R 17	Dilemma	2	D														Reveal your hand and place each interrupt revealed this way on top of your deck in any order. Your opponent draws up to two cards.
Telepathic Invasion	Excelsior11	ST2E08017	U	N	8 U 17	Dilemma	2	D														Unless you have Diplomacy, Officer, and Telepathy or Intelligence, Treachery, and Cunning>22, randomly select a personnel to be stopped, and if the opponent on your left commands Romulus, he or she may examine your hand and discard a card of his or her choice from the revealed cards.
Temptation	Excelsior11	ST2E-EN01053	U	N	1 U 53	Dilemma	3	D														Randomly select three personnel. Each of those personnel that does not have Honor or Treachery is stopped.
The Captain's "Guest"	Excelsior11	STVE-EN18006	V	N	18 V 6	Dilemma	2	D														Your opponent names a keyword. Randomly select three personnel. If any of those personnel has that keyword, they are all stopped. Otherwise, choose one of those personnel to be stopped.
The Needs of the Many	Excelsior11	ST2E-EN29013	V	N	29 V 13	Dilemma	4	D														Randomly select a personnel who has [Cmd] or Science to be killed. Then, reveal your hand and choose a personnel to be stopped for each interrupt revealed.
The Seen and the Unseen	Excelsior11	STVE-EN16016	V	N	16 V 16	Dilemma	4	D														Unless at least half your personnel are not [NA], stop all your personnel, lose 5 points, your opponent scores 5 points, and this dilemma returns to its owner's dilemma pile.
Unconventional Consideration	Excelsior11	STVE-EN31012	V	N	31 V 12	Dilemma	2	D														Choose a personnel who has Acquisition or Intelligence or Law or Telepathy to be stopped. If you cannot, all your personnel are stopped.
Unexpected	Excelsior11	ST2E-EN02028	C	N	2 C 28	Dilemma	3	D														Randomly select a personnel to be stopped. Unless you have Astrometrics and 2 Diplomacy or Exobiology and 2 Medical, place that personnel on top of his or her owner's deck instead.
Unfair Comparison	Excelsior11	STVE-EN22009	V	N	22 V 9	Dilemma	2	D														You and your opponent each reveal the top three dilemmas of your dilemma piles. Unless you revealed dilemmas that have an equal or greater total cost than your opponent, randomly select three personnel to be stopped.
Unfamiliar Etiquette	Excelsior11	STVE-EN40008	V	N	40 V 8	Dilemma	1	D														Your opponent chooses an event you command (if he or she cannot, this dilemma is overcome). Unless you choose to destroy that event, stop each personnel with a cost greater than the cost of that event.
Unsound Logic	Excelsior11	STVE-EN35004	V	N	35 V 4	Dilemma	4	D														If your opponent commands an Assassin at this mission, he or she chooses a personnel to be killed. If he or she returns that Assassin to his or her hand, he or she chooses an additional personnel to be killed.
Urgency	Excelsior11	ST2E-EN06012	P	N	6 P 12	Dilemma	0	D							Consume: 1. (Your opponent places the top card of his or her dilemma pile face up beneath this mission.)							Place this dilemma on this mission. Each personnel may use no more than one skill during each dilemma he or she faces. Each personnel may use no more than one skill to meet a mission's requirements. At the end of this turn, this dilemma returns to its owner's dilemma pile.
Workforce	Excelsior11	STVE-EN28006	V	N	28 V 6	Dilemma	1	D														Unless you have Physics, all your personnel are stopped. Otherwise, place this dilemma on this mission. While you command a stopped personnel at this mission, your personnel cannot begin a mission attempt here. At the end of this turn, this dilemma is overcome.
A Taste of Armageddon	Excelsior11	STVE-EN34001	V	N	34 V 1	Dilemma	4	P														Randomly select a personnel with a skill required by this mission to be killed. The opponent on your left may discard an interrupt from hand to randomly select an additional personnel to be killed.
Abrasive Allies	Excelsior11	STVE-EN33001	V	N	33 V 1	Dilemma	2	P														Unless you command personnel with more different affiliations than the owner of this dilemma, your opponent chooses a personnel to be stopped.
Assassin Team	Excelsior11	STVE-EN17001	V	N	17 V 1	Dilemma	4	P														Your opponent chooses a personnel to be stopped. If he or she commands three Assassin personnel, that personnel is killed instead and all of your personnel are stopped.
Chained Environment	Excelsior11	STVE-EN30001	V	N	30 V 1	Dilemma	4	P														Unless you have 2 Diplomacy and 2 Geology or Cunning>36, all your personnel are stopped and, if there are no other dilemmas on this mission, place this dilemma on this mission. Add Science to each of this mission's requirements.
Close Call	Excelsior11	ST2E-EN03003	C	N	3 C 3	Dilemma	2	P														Unless you have 2 Diplomacy and Security or 2 Programming and Transporters, randomly select an Engineer to be killed.
Divergent Goals	Excelsior11	STVE-EN43002	V	N	43 V 2	Dilemma	2	P														Randomly select three personnel. Unless those personnel have Anthropology, Geology, and Integrity>17 or your unselected personnel have Biology, Officer, and 2 Transporters, all your personnel are stopped.
Dramatis Personae	Excelsior11	STVE-EN33002	V	N	33 V 2	Dilemma	3	P														Unless you have 2 Medical and 2 Science or 2 Archaeology and Transporters, you opponent chooses one: kill the personnel with the fewest [SD]; or, kill the personnel with the lowest total attributes.
Environmental Contaminants	Excelsior11	STVE-EN43003	V	N	43 V 3	Dilemma	4	P														While you have a higher score than each of your opponents, this dilemma is cost -3. Unless you have Biology, 2 Diplomacy, and 2 Science or 2 Engineer, 2 Exobiology, and Cunning>38, randomly select two personnel to be killed.
Flim-Flam Artist	Excelsior11	ST2E-EN02010	U	N	2 U 10	Dilemma	3	P														Unless you have Diplomacy and 2 Programming or Law and Cunning>32, all your personnel are stopped, your opponent may draw a card, and this dilemma is returned to its owner's dilemma pile.
Galileo Grounded	Excelsior11	STVE-EN24004	V	N	24 V 4	Dilemma	2	P														Unless you have Medical, Security, and Transporters or a staffed ship at this mission, all your personnel are stopped.
Gangster's Welcome	Excelsior11	ST2E-EN12007	C	N	12 C 7	Dilemma	2	P														Unless you have Law and 2 Leadership or 2 Officer and 2 Security, randomly select a personnel to be killed and your opponent may destroy up to two events in your core.
Greater Needs	Excelsior11	STVE-EN24005	V	N	24 V 5	Dilemma	3	P														Unless you have Anthropology, Diplomacy, Exobiology, and Integrity>30 or Leadership, Transporters, Treachery, and Strength>30, all your personnel are stopped and this dilemma is placed on your ship at this mission. Damage - Your personnel cannot begin a mission attempt at this mission.
Helpless	Excelsior11	ST2E-EN06007	P	N	6 P 7	Dilemma	2	P														Randomly select a personnel. Unless he or she has at least one skill listed in this mission requirements, stop that personnel, then randomly select another personnel to be stopped.
Houdini Mines	Excelsior11	ST2E-EN02013	C	N	2 C 13	Dilemma	4	P														Unless you have 2 Engineer and 2 Science or 2 Programming and 3 Security, randomly select a personnel to be killed, then this dilemma returns to its owner's dilemma pile.
Legal Inflexibility	Excelsior11	STVE-EN30005	V	N	30 V 5	Dilemma	3	P														Unless you have 2 Transporters and Strength>32 or Law and Cunning>32, all your personnel are stopped. When this dilemma is overcome, if it was prevented, your opponent may choose one of your personnel involved in the mission attempt to be placed in your opponent's brig.
Maquis Vendetta	Excelsior11	ST2E09003	R	N	9 R 3	Dilemma	3	P														Randomly select a personnel to be stopped. If that personnel has Officer or Security, randomly select an additional personnel to be stopped.
Miner Revolt	Excelsior11	STVE-EN17008	V	N	17 V 8	Dilemma	3	P														Randomly select personnel until their total cost is 6 or more. Those personnel are stopped.
Neural Parasites	Excelsior11	st2e-en12013	R	N	12 R 13	Dilemma	2	P														This dilemma is cost +3 for each mission you have completed. For each headquarters mission you command, your opponent chooses a personnel to be killed.
Neurogenic Field	Excelsior11	WYLB008	U	N	14 U 8	Dilemma	1	P							Persistent. (When your personnel complete this mission, this dilemma's owner may discard a non-personnel card from hand to return this dilemma to his or her dilemma pile.)							Choose a personnel who has Anthropology or Medical to be stopped. If you cannot, randomly select a personnel to be killed.
Paradise Found	Excelsior11	STVE-EN39002	V	N	39 V 2	Dilemma	2	P														This dilemma is cost +1 for each interrupt in your opponent's discard pile. Unless you have Anthropology, 2 Honor, and 2 Leadership or 2 Astrometrics, 2 Engineer, and Cunning>38, randomly select three personnel to be stopped.
Pillage and Plunder	Excelsior11	STVE-EN21006	V	N	21 V 6	Dilemma	1	P							Persistent. (When your personnel complete this mission, this dilemma's owner may discard a non-personnel card from hand to return this dilemma to his or her dilemma pile.)							Choose a personnel who has Archaeology or Treachery to be stopped. If you cannot, randomly select a personnel to be killed.
Punishment Box	Excelsior11	STVE-EN17010	V	N	17 V 10	Dilemma	4	P														Unless you destroy one of your equipment or have Engineer and a personnel with Honor and Leadership, randomly select an Officer to be stopped and place this dilemma in your core. At the start of each of your turns, choose an Officer personnel to be stopped.
Shadowplay	Excelsior11	STVE-EN26009	V	N	26 V 9	Dilemma	2	P														When your opponent reveals this dilemma, he or she may discard a personnel from hand to add 5 to each of this dilemma's attributes requirements (or add 10 if that personnel was an Hologram). Unless you have Programming and Cunning>30 or Treachery and Strength>30, all your personnel are stopped.
Stand-Off	Excelsior11	st2e-en10016	C	N	10 C 16	Dilemma	3	P														Unless you have Anthropology, Diplomacy, and Honor or Law, Security, and Strength>28, randomly select a Leadership personnel, place him or her in your opponent's brig, and all your other personnel are stopped.
Standing Trial	Excelsior11	STVE-EN28005	V	N	28 V 5	Dilemma	2	P														Randomly select a personnel who has Honor or Transporters to be stopped. If you have more points than each of your opponents, randomly select a personnel to be returned to his or her owner's hand.
Strength of Arms	Excelsior11	STVE-EN35003	V	N	35 V 3	Dilemma	2	P														Your opponent places a ship you command at this mission. Unless you have Diplomacy and a unique ship at this mission or Treachery and a ship with Weapons>7 at this mission, your opponent chooses a personnel to be stopped.
Subterranean Barrier	Excelsior11	st2e-en11005	P	N	11 P 5	Dilemma	3	P														Unless you have Biology, Exobiology, Geology and Integrity>25 or Diplomacy, Leadership, Officer and Cunning>32, all your personnel are stopped and this dilemma returns to its ownerÂ’s dilemma pile.
Surface Defense	Excelsior11	STVE-EN38010	V	N	38 V 10	Dilemma	3	P														Unless you have Archaeology, Exobiology, and Programming or 2 Engineer and 2 Physics, all your personnel are stopped and this dilemma is placed on your ship at this mission. Damage - To move this ship, you must stop one of your Navigation personnel aboard.
Sympathetic Magic	Excelsior11	ST2E-EN01051	R	N	1 R 51	Dilemma	3	P														Unless you choose to place this dilemma on your ship at this mission, all your personnel are stopped. Damage - This ship is attributes-2.
Terminal Resignation	Excelsior11	ST2E-EN29011	V	N	29 V 11	Dilemma	5	P														Choose a Commander that corresponds with your ship that is at this mission to be killed. If no personnel were killed by this dilemma, your opponent chooses two personnel to be stopped.
The Demands of Duty	Excelsior11	ST2E-EN03031	R	N	3 R 31	Dilemma	4	P														Your opponent chooses a personnel. Unless you choose to have all your personnel be stopped, that personnel is killed.
The Launching	Excelsior11	STVE-EN23010	V	N	23 V 10	Dilemma	0	P														Unless you have 2 Astrometrics and 2 Physics or two non-Hand Weapon equipment, all your personnel are stopped. When you meet the requirements of this dilemma, you may stop an Engineer personnel to score 5 points.
Triage	Excelsior11	ST2E-EN01057	C	N	1 C 57	Dilemma	1	P														Choose a personnel who has Biology or Medical to be stopped. If you cannot, randomly select a personnel to be killed.
Unfair Terms	Excelsior11	STVE-EN17015	V	N	17 V 15	Dilemma	6	P														For each mission worth 40 or more points that your opponent commands, this dilemma is cost -2. Randomly select three personnel. Each of those personnel who has a cost of 2 or less is killed.
Unknown Microorganism	Excelsior11	ST2E-EN06011	P	N	6 P 11	Dilemma	3	P														Unless you have Biology, Medical, and Science or 2 Security and a non-Hand Weapon equipment, randomly select a personnel to be killed, all of your other personnel are stopped, and this dilemma returns to its owner's dilemma pile.
Unorthodox Recruitment	Excelsior11	STVE-EN38012	V	N	38 V 12	Dilemma	2	P														Unless you have Intelligence, randomly select a personnel who has Cunning>6 to be placed in his or her owner's discard pile. If you cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
Adversarial Trial	Excelsior11	STVE-EN28001	V	N	28 V 1	Dilemma	2	S														Randomly select a personnel who has Anthropology or Programming to be stopped. If you have more points than each of your opponents, randomly select a personnel to be returned to his or her owner's hand.
Aggressive Behavior	Excelsior11	ST2E-EN01002	R	N	1 R 2	Dilemma	4	S														Unless you have 2 Anthropology or 2 Leadership and Weapons>8, randomly select a personnel to be killed, all your other personnel are stopped, and this dilemma is placed on your ship. Damage - This ship is attributes -2.
Alien Abduction	Excelsior11	ST2E-EN01003	C	N	1 C 3	Dilemma	1	S														Unless you have 2 Engineer and Physics or Medical and Transporters, randomly select three personnel to be stopped.
Alternatives to Fighting	Excelsior11	STVE-EN36001	V	N	36 V 1	Dilemma	3	S														Unless you have Navigation and Weapons>7 or this mission is a Nebula mission, place your ship at a Nebula mission. If you cannot, all your personnel are stopped and place this dilemma on your ship. Damage - This ship is attributes -2.
Archaic Snare	Excelsior11	STVE-EN43001	V	N	43 V 1	Dilemma	4	S														Unless you have Archaeology, 2 Security, and Cunning>32 or 3 Engineer, Navigation, and Physics all your personnel are stopped and this dilemma is placed on this mission. when a ship is about to move from this mission, randomly select a personnel aboard to be killed.
Artificial Wormhole	Excelsior11	STVE-EN16002	V	N	16 V 2	Dilemma	3	S														Your personnel cannot gain skills while facing this dilemma. Unless you have 2 Leadership and 2 Officer, or Engineer, Programming, and Cunning>33, or this ship's corresponding Commander your opponent may take a ship at a mission and place it at a different mission. That ship's Range for this turn is used.
Cadet Review	Excelsior11	ST2E-EN29003	V	N	29 V 3	Dilemma	3	S														Each personnel may use no more than one skill while facing this dilemma. Unless you have Engineer, Medical, Science, and Security or Diplomacy, Officer, Programming, and Transporters, your opponent chooses two [Stf] personnel to be stopped.
Disruptor Accident	Excelsior11	ST2E-EN02006	C	N	2 C 6	Dilemma	3	S														Randomly select a personnel. Unless you choose to kill that personnel, he or she and a second randomly selected personnel are stopped.
Drumhead	Excelsior11	ST2E-EN01023	R	N	1 R 23	Dilemma	3	S														Unless you have Law, randomly select a personnel who has Integrity<4 to be placed in its owner's discard pile. If you cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
Duty Schedule	Excelsior11	STVE-EN24003	V	N	24 V 3	Dilemma	2	S														Your opponent chooses a number of personnel equal to the number of staffing requirement icons on this ship. Choose one of those personnel to be stopped.
Graviton Wave	Excelsior11	ST2E-EN03013	C	N	3 C 13	Dilemma	2	S														Unless you have Astrometrics, Physics, and Cunning>32 or Biology and 2 Medical, randomly select a Science personnel to be killed.
Historical Curiosity	Excelsior11	STVE-EN32002	V	N	32 V 2	Dilemma	3	S														Unless you have Anthropology, Law, and Transporters or Shields>8, randomly select two personnel to be stopped and your opponent draws up to two cards.
Inquest	Excelsior11	ST2E-EN29007	V	N	29 V 7	Dilemma	3	S														Randomly select personnel until their total number of [SD] icons is 8 or more. Those personnel are stopped.
Isolated Detachment	Excelsior11	STVE-EN43005	V	N	43 V 5	Dilemma	2	S														Randomly select three personnel. Unless those personnel have Diplomacy, Programming, and Cunning>17 or your unselected personnel have Engineer, Physics, and 2 Security, all your personnel are stopped.
Left Behind	Excelsior11	STVE-EN19002	V	N	19 V 2	Dilemma	4	S														Randomly select two personnel. They cannot use their skills while facing this dilemma. Unless you have 2 Biology and 2 Medical or 2 Navigation, Transporters, and Shields>8, those personnel are stopped, and your opponent places them on a planet mission in the same quadrant as this mission.
Mutinous Guests	Excelsior11	STVE-EN33004	V	N	33 V 4	Dilemma	3	S														Unless you have 3 Security or 2 Vulcans, all your personnel are stopped and your opponent may place a ship at this mission at your planet mission.
